Key = key-370, Value = value-8611003614900965347, Score = 2
Key = key-10, ValueA = , ValueB = value-4444218551073067802, Score = 1
Key = key-10, ValueA = , ValueB = value-8454673082352764160, Score = 1
Key = key-120, ValueA = , ValueB = value-6652298944911071571, Score = 1
Key = key-10, ValueA = , ValueB = value-2711332424467366774, Score = 1
Key = key-120, ValueA = , ValueB = value-8753651856291233145, Score = 1
Key = key-10, ValueA = , ValueB = value-5501441251693583284, Score = 1
Key = key-120, ValueA = , ValueB = value-7781841191907779461, Score = 1
Key = key-10, ValueA = , ValueB = value-3011071405177742314, Score = 1
Key = key-120, ValueA = , ValueB = value-3402700357351863393, Score = 1
Key = key-120, ValueA = , ValueB = value-4385489646552668211, Score = 1
Key = key-120, ValueA = , ValueB = value-2678321162123368710, Score = 1
Key = key-120, ValueA = , ValueB = value-8650294293965851711, Score = 1
Key = key-120, ValueA = , ValueB = value-2161922335152555530, Score = 1
Key = key-120, ValueA = , ValueB = value-160229242025530836, Score = 1
Key = key-120, ValueA = , ValueB = value-593704012350469570, Score = 1
Key = key-120, ValueA = , ValueB = value-2940269588838272014, Score = 1
Key = key-11, ValueA = , ValueB = value-3641900146162157998, Score = 1
Key = key-11, ValueA = , ValueB = value-5750394449313510958, Score = 1
Key = key-11, ValueA = , ValueB = value-834918544877459591, Score = 1
Key = key-11, ValueA = , ValueB = value-2331170252441994840, Score = 1
Key = key-11, ValueA = , ValueB = value-8989516265302589503, Score = 1
Key = key-367, ValueA = , ValueB = value-5074766536496299924, Score = 1
Key = key-367, ValueA = , ValueB = value-6629196807595130671, Score = 1
Key = key-367, ValueA = , ValueB = value-8026867179977117262, Score = 1
Key = key-367, ValueA = , ValueB = value-2371236200993725420, Score = 1
Key = key-367, ValueA = , ValueB = value-6813861708558250327, Score = 1
Key = key-29, ValueA = , ValueB = value-2873550535210171688, Score = 1
Key = key-29, ValueA = , ValueB = value-8234533270530992228, Score = 1
Key = key-29, ValueA = , ValueB = value-1426854034569515901, Score = 1
Key = key-29, ValueA = , ValueB = value-1995727092134847651, Score = 1
Key = key-29, ValueA = , ValueB = value-1795062321638601295, Score = 1
Key = key-29, ValueA = , ValueB = value-1485870009465257760, Score = 1
Key = key-29, ValueA = , ValueB = value-3413267643229338267, Score = 1
Key = key-29, Value = value-2873550535210171688, Score = 2
Key = key-368, ValueA = , ValueB = value-7649973561204211563, Score = 1
Key = key-368, ValueA = , ValueB = value-2175439196486836852, Score = 1
Key = key-368, ValueA = , ValueB = value-6121453444174069822, Score = 1
Key = key-368, ValueA = , ValueB = value-8749574404512226737, Score = 1
Key = key-368, ValueA = , ValueB = value-8228730331475849880, Score = 1
Key = key-28, ValueA = , ValueB = value-9058545128922920414, Score = 1
Key = key-368, ValueA = , ValueB = value-8741938888648744147, Score = 1
Key = key-28, ValueA = , ValueB = value-3881797881243950944, Score = 1
Key = key-368, ValueA = , ValueB = value-6130759239036359923, Score = 1
Key = key-28, ValueA = , ValueB = value-879526883148060607, Score = 1
Key = key-368, ValueA = , ValueB = value-5310330611139657767, Score = 1
Key = key-28, ValueA = , ValueB = value-3378255935697060661, Score = 1
Key = key-368, ValueA = , ValueB = value-493833547497977453, Score = 1
Key = key-368, ValueA = , ValueB = value-4740347595190187962, Score = 1
Key = key-25, ValueA = , ValueB = value-412844382826445925, Score = 1
Key = key-25, ValueA = , ValueB = value-1658035865497870893, Score = 1
Key = key-25, ValueA = , ValueB = value-5272229387740368245, Score = 1
Key = key-25, ValueA = , ValueB = value-8921478830019838588, Score = 1
Key = key-25, Value = value-412844382826445925, Score = 2
Key = key-24, ValueA = , ValueB = value-6406784203322785046, Score = 1
Key = key-24, ValueA = , ValueB = value-3649068550684123356, Score = 1
Key = key-24, ValueA = , ValueB = value-765076471924700608, Score = 1
Key = key-24, ValueA = , ValueB = value-7676794617623685684, Score = 1
Key = key-24, ValueA = , ValueB = value-2995752982645495229, Score = 1
Key = key-24, ValueA = , ValueB = value-82778203985498943, Score = 1
Key = key-24, ValueA = , ValueB = value-1563010540764316374, Score = 1
Key = key-24, ValueA = , ValueB = value-9152095668206993079, Score = 1
Key = key-24, Value = value-6406784203322785046, Score = 2
Key = key-27, ValueA = , ValueB = value-2535108255819796057, Score = 1
Key = key-27, ValueA = , ValueB = value-3944268869064784051, Score = 1
Key = key-27, ValueA = , ValueB = value-6365125038086696672, Score = 1
Key = key-27, ValueA = , ValueB = value-7509465294061359187, Score = 1
Key = key-27, ValueA = , ValueB = value-6906502062547162231, Score = 1
Key = key-27, ValueA = , ValueB = value-5337397592612179835, Score = 1
Key = key-365, Value = value-8357534551423080432, Score = 2
Key = key-26, ValueA = , ValueB = value-1235543654926415311, Score = 1
Key = key-26, ValueA = , ValueB = value-4247155312258978101, Score = 1
Key = key-26, ValueA = , ValueB = value-2725686592197215767, Score = 1
Key = key-26, ValueA = , ValueB = value-4801090279168470203, Score = 1
Key = key-123, Value = value-2376034635061718042, Score = 2
Key = key-21, ValueA = , ValueB = value-6061349845985959834, Score = 1
Key = key-21, ValueA = , ValueB = value-5081978375578880513, Score = 1
Key = key-21, ValueA = , ValueB = value-5629285147152635846, Score = 1
Key = key-366, ValueA = , ValueB = value-5648499175594135395, Score = 1
Key = key-21, ValueA = , ValueB = value-7871392882197722836, Score = 1
Key = key-366, ValueA = , ValueB = value-6278970208989213197, Score = 1
Key = key-21, ValueA = , ValueB = value-8637803654780101189, Score = 1
Key = key-366, ValueA = , ValueB = value-7068655796756819789, Score = 1
Key = key-21, ValueA = , ValueB = value-6125468562041525964, Score = 1
Key = key-366, ValueA = , ValueB = value-8884033138754108485, Score = 1
Key = key-21, ValueA = , ValueB = value-2609591703878096479, Score = 1
Key = key-366, ValueA = , ValueB = value-4780665057633266158, Score = 1
Key = key-21, ValueA = , ValueB = value-1027812083806066821, Score = 1
Key = key-366, ValueA = , ValueB = value-4509034917896457385, Score = 1
Key = key-21, Value = value-6061349845985959834, Score = 2
Key = key-366, ValueA = , ValueB = value-188017613162620915, Score = 1
Key = key-366, ValueA = , ValueB = value-5808668407220731984, Score = 1
Key = key-366, ValueA = , ValueB = value-763822860246835964, Score = 1
Key = key-366, Value = value-5648499175594135395, Score = 2
Key = key-20, ValueA = , ValueB = value-5446009143727602200, Score = 1
Key = key-20, ValueA = , ValueB = value-7359017062575328525, Score = 1
Key = key-20, ValueA = , ValueB = value-6249936858861508058, Score = 1
Key = key-20, ValueA = , ValueB = value-7850624694265797670, Score = 1
Key = key-20, ValueA = , ValueB = value-5834545602843421381, Score = 1
Key = key-20, ValueA = , ValueB = value-5291044926305505368, Score = 1
Key = key-20, ValueA = , ValueB = value-2331126141347005359, Score = 1
Key = key-20, Value = value-5446009143727602200, Score = 2
Key = key-129, ValueA = , ValueB = value-7190098735543658278, Score = 1
Key = key-129, ValueA = , ValueB = value-5810659473004673663, Score = 1
Key = key-129, ValueA = , ValueB = value-1812293310264250388, Score = 1
Key = key-23, ValueA = , ValueB = value-5897501814116368004, Score = 1
Key = key-129, ValueA = , ValueB = value-6765614988850995489, Score = 1
Key = key-23, ValueA = , ValueB = value-6641331297568063575, Score = 1
Key = key-23, ValueA = , ValueB = value-6564579260798730186, Score = 1
Key = key-129, ValueA = , ValueB = value-4673952239776469034, Score = 1
Key = key-23, ValueA = , ValueB = value-1804320133555758170, Score = 1
Key = key-129, ValueA = , ValueB = value-4077823763670061970, Score = 1
Key = key-23, ValueA = , ValueB = value-1725914243834713492, Score = 1
Key = key-23, ValueA = , ValueB = value-7233883581605841805, Score = 1
Key = key-23, ValueA = , ValueB = value-7405789316121834094, Score = 1
Key = key-23, ValueA = , ValueB = value-5274085348985345800, Score = 1
Key = key-127, ValueA = , ValueB = value-517763204491570594, Score = 1
Key = key-127, ValueA = , ValueB = value-6468744453813612046, Score = 1
Key = key-127, ValueA = , ValueB = value-9201056763921678657, Score = 1
Key = key-127, ValueA = , ValueB = value-3446018897977408651, Score = 1
Key = key-127, ValueA = , ValueB = value-4285427670347647540, Score = 1
Key = key-127, ValueA = , ValueB = value-1570155524532470567, Score = 1
Key = key-127, ValueA = , ValueB = value-2060469409221175982, Score = 1
Key = key-127, ValueA = , ValueB = value-6114289586917711358, Score = 1
Key = key-22, ValueA = , ValueB = value-6071203465406270233, Score = 1
Key = key-22, ValueA = , ValueB = value-1452333601388039752, Score = 1
Key = key-22, ValueA = , ValueB = value-4333895234240692533, Score = 1
Key = key-22, ValueA = , ValueB = value-751413196040322206, Score = 1
Key = key-22, ValueA = , ValueB = value-1559171640977010123, Score = 1
Key = key-22, ValueA = , ValueB = value-8781623385201417242, Score = 1
Key = key-369, Value = value-957431373472921096, Score = 2
Key = key-808, ValueA = , ValueB = value-5953931060733638420, Score = 1
Key = key-808, ValueA = , ValueB = value-8599526467238879685, Score = 1
Key = key-808, ValueA = , ValueB = value-488496067631345131, Score = 1
Key = key-808, ValueA = , ValueB = value-9188282172004040976, Score = 1
Key = key-808, ValueA = , ValueB = value-283539003963561721, Score = 1
Key = key-806, Value = value-3967888498358538965, Score = 2
Key = key-140, Value = value-5249314424424837656, Score = 2
Key = key-807, ValueA = , ValueB = value-5280916124914065261, Score = 1
Key = key-807, ValueA = , ValueB = value-5697264760762179357, Score = 1
Key = key-807, ValueA = , ValueB = value-9060367134941430636, Score = 1
Key = key-807, ValueA = , ValueB = value-2302348459053689450, Score = 1
Key = key-382, Value = value-4624660312377738225, Score = 2
Key = key-807, ValueA = , ValueB = value-5826643061174523206, Score = 1
Key = key-807, ValueA = , ValueB = value-2653265776281228654, Score = 1
Key = key-807, ValueA = , ValueB = value-5922647913449650159, Score = 1
Key = key-807, Value = value-5280916124914065261, Score = 2
Key = key-58, Value = value-8159320322685267862, Score = 2
Key = key-374, ValueA = , ValueB = value-6877589389065271862, Score = 1
Key = key-374, ValueA = , ValueB = value-5997294661473880494, Score = 1
Key = key-374, ValueA = , ValueB = value-3909101167431294119, Score = 1
Key = key-374, ValueA = , ValueB = value-5996277314459889570, Score = 1
Key = key-374, ValueA = , ValueB = value-3929078827349625884, Score = 1
Key = key-57, ValueA = , ValueB = value-1347953109973145114, Score = 1
Key = key-374, ValueA = , ValueB = value-427933596023793055, Score = 1
Key = key-57, ValueA = , ValueB = value-6941692593174343848, Score = 1
Key = key-374, ValueA = , ValueB = value-7570542289731332845, Score = 1
Key = key-57, ValueA = , ValueB = value-5579757597829092188, Score = 1
Key = key-374, ValueA = , ValueB = value-1231971851057367615, Score = 1
Key = key-57, ValueA = , ValueB = value-5375252701799641895, Score = 1
Key = key-57, ValueA = , ValueB = value-4448065268949557816, Score = 1
Key = key-57, ValueA = , ValueB = value-5745975576916160685, Score = 1
Key = key-57, ValueA = , ValueB = value-2233437225521761350, Score = 1
Key = key-57, ValueA = , ValueB = value-6143452435276492560, Score = 1
Key = key-57, ValueA = , ValueB = value-5811252812687106244, Score = 1
Key = key-57, ValueA = , ValueB = value-5675292030058515549, Score = 1
Key = key-57, ValueA = , ValueB = value-4972930546502725652, Score = 1
Key = key-57, ValueA = , ValueB = value-5946650539520015980, Score = 1
Key = key-57, Value = value-1347953109973145114, Score = 2
Key = key-132, Value = value-1165054462637147010, Score = 2
Key = key-59, ValueA = , ValueB = value-5665006342882642026, Score = 1
Key = key-59, ValueA = , ValueB = value-7885693662964687425, Score = 1
Key = key-59, ValueA = , ValueB = value-3773727373750185118, Score = 1
Key = key-59, ValueA = , ValueB = value-8280828441062606056, Score = 1
Key = key-59, ValueA = , ValueB = value-7272102561261896346, Score = 1
Key = key-59, ValueA = , ValueB = value-303347983034105107, Score = 1
Key = key-59, ValueA = , ValueB = value-1036203932509590809, Score = 1
Key = key-59, ValueA = , ValueB = value-8047672886112199527, Score = 1
Key = key-59, ValueA = , ValueB = value-3947382130795297771, Score = 1
Key = key-59, ValueA = , ValueB = value-4358734454584005238, Score = 1
Key = key-59, ValueA = , ValueB = value-5449433400086093486, Score = 1
Key = key-59, ValueA = , ValueB = value-6042559484501107248, Score = 1
Key = key-59, ValueA = , ValueB = value-6176977088417176790, Score = 1
Key = key-59, ValueA = , ValueB = value-480795369419990060, Score = 1
Key = key-59, ValueA = , ValueB = value-1196308695895147080, Score = 1
Key = key-59, ValueA = , ValueB = value-2880093598960352218, Score = 1
Key = key-59, Value = value-5665006342882642026, Score = 2
Key = key-492, ValueA = , ValueB = value-3390482864950054900, Score = 1
Key = key-173, Value = value-713809819187705407, Score = 2
Key = key-492, ValueA = , ValueB = value-6622957059526377057, Score = 1
Key = key-492, ValueA = , ValueB = value-4720864935291267811, Score = 1
Key = key-492, ValueA = , ValueB = value-6611128879045098632, Score = 1
Key = key-492, ValueA = , ValueB = value-5226342800641193577, Score = 1
Key = key-492, ValueA = , ValueB = value-8140828642342158012, Score = 1
Key = key-492, ValueA = , ValueB = value-523050545240782006, Score = 1
Key = key-492, ValueA = , ValueB = value-4668878816124632504, Score = 1
Key = key-170, ValueA = , ValueB = value-2221633015415003180, Score = 1
Key = key-170, ValueA = , ValueB = value-7511572992527940725, Score = 1
Key = key-170, ValueA = , ValueB = value-336837509105181514, Score = 1
Key = key-170, ValueA = , ValueB = value-4895289611507114292, Score = 1
Key = key-170, ValueA = , ValueB = value-5303730529542195603, Score = 1
Key = key-170, ValueA = , ValueB = value-2552387595896870244, Score = 1
Key = key-170, ValueA = , ValueB = value-874929891624579946, Score = 1
Key = key-490, ValueA = , ValueB = value-3394190819079414939, Score = 1
Key = key-170, ValueA = , ValueB = value-7575368698292545488, Score = 1
Key = key-490, ValueA = , ValueB = value-2291387079827154666, Score = 1
Key = key-170, Value = value-2221633015415003180, Score = 2
Key = key-490, ValueA = , ValueB = value-1033201356229942120, Score = 1
Key = key-490, ValueA = , ValueB = value-1226427379333212106, Score = 1
Key = key-490, ValueA = , ValueB = value-261201059131591284, Score = 1
Key = key-490, ValueA = , ValueB = value-7833637206054741025, Score = 1
Key = key-490, ValueA = , ValueB = value-724190637632260258, Score = 1
Key = key-490, Value = value-3394190819079414939, Score = 2
Key = key-375, Value = value-2067097487099897220, Score = 2
Key = key-133, Value = value-5077346528231123741, Score = 2
Key = key-98, ValueA = , ValueB = value-7914276890836354131, Score = 1
Key = key-98, ValueA = , ValueB = value-7252237358232901720, Score = 1
Key = key-98, ValueA = , ValueB = value-6096539759276113667, Score = 1
Key = key-98, ValueA = , ValueB = value-1620489224016366654, Score = 1
Key = key-98, ValueA = , ValueB = value-2549334724456178358, Score = 1
Key = key-98, ValueA = , ValueB = value-1691914568064240513, Score = 1
Key = key-98, ValueA = , ValueB = value-337349704814536145, Score = 1
Key = key-98, ValueA = , ValueB = value-8022003078250712042, Score = 1
Key = key-98, ValueA = , ValueB = value-6875732558613535321, Score = 1
Key = key-98, ValueA = , ValueB = value-1289214969609682679, Score = 1
Key = key-98, ValueA = , ValueB = value-5121388945486557520, Score = 1
Key = key-98, Value = value-7914276890836354131, Score = 2
Key = key-166, ValueA = , ValueB = value-1006843721427472405, Score = 1
Key = key-166, ValueA = , ValueB = value-1278533304088754651, Score = 1
Key = key-166, ValueA = , ValueB = value-9220541056154664216, Score = 1
Key = key-131, Value = value-6183519689780219613, Score = 2
Key = key-166, ValueA = , ValueB = value-1603478171442452023, Score = 1
Key = key-166, Value = value-1006843721427472405, Score = 2
Key = key-97, Value = value-1531848749094763770, Score = 2
Key = key-378, ValueA = , ValueB = value-4076629475147731415, Score = 1
Key = key-378, ValueA = , ValueB = value-3403481689443526072, Score = 1
Key = key-163, Value = value-5622935698568712556, Score = 2
Key = key-378, ValueA = , ValueB = value-687138996885185973, Score = 1
Key = key-378, ValueA = , ValueB = value-424973887787986450, Score = 1
Key = key-378, ValueA = , ValueB = value-4207558252898123889, Score = 1
Key = key-378, ValueA = , ValueB = value-1980458501437226722, Score = 1
Key = key-378, Value = value-4076629475147731415, Score = 2
Key = key-164, ValueA = , ValueB = value-2725168686574750385, Score = 1
Key = key-164, ValueA = , ValueB = value-1619598356469840647, Score = 1
Key = key-164, ValueA = , ValueB = value-578574772449094642, Score = 1
Key = key-164, ValueA = , ValueB = value-6908747060443171134, Score = 1
Key = key-164, ValueA = , ValueB = value-3685598490601561672, Score = 1
Key = key-164, ValueA = , ValueB = value-6609075483570349737, Score = 1
Key = key-164, ValueA = , ValueB = value-4961875331595339356, Score = 1
Key = key-164, ValueA = , ValueB = value-5963299493381197428, Score = 1
Key = key-164, Value = value-2725168686574750385, Score = 2
Key = key-94, Value = value-3330124470115863447, Score = 2
Key = key-376, ValueA = , ValueB = value-3711125399820273583, Score = 1
Key = key-376, ValueA = , ValueB = value-3415074059075355646, Score = 1
Key = key-376, ValueA = , ValueB = value-8900786907596965874, Score = 1
Key = key-376, ValueA = , ValueB = value-1811706636915279348, Score = 1
Key = key-376, ValueA = , ValueB = value-6249273696674307467, Score = 1
Key = key-376, ValueA = , ValueB = value-2066609694273060694, Score = 1
Key = key-376, Value = value-3711125399820273583, Score = 2
Key = key-169, ValueA = , ValueB = value-7989646374447329718, Score = 1
Key = key-169, ValueA = , ValueB = value-7071155905788714041, Score = 1
Key = key-169, ValueA = , ValueB = value-1236756954900915121, Score = 1
Key = key-169, ValueA = , ValueB = value-4045452957771337499, Score = 1
Key = key-134, Value = value-6307452618696954572, Score = 2
Key = key-169, ValueA = , ValueB = value-8687741530694218143, Score = 1
Key = key-169, ValueA = , ValueB = value-614400337277550397, Score = 1
Key = key-169, ValueA = , ValueB = value-5056763731929005771, Score = 1
Key = key-169, ValueA = , ValueB = value-1331825642413507655, Score = 1
Key = key-377, ValueA = , ValueB = value-1784347930423261017, Score = 1
Key = key-377, ValueA = , ValueB = value-6249380483012583136, Score = 1
Key = key-377, ValueA = , ValueB = value-5348666072177127857, Score = 1
Key = key-377, ValueA = , ValueB = value-102261942685617947, Score = 1
Key = key-377, ValueA = , ValueB = value-2352666122669964210, Score = 1
Key = key-377, ValueA = , ValueB = value-335344091904939285, Score = 1
Key = key-377, ValueA = , ValueB = value-703791633257854697, Score = 1
Key = key-377, ValueA = , ValueB = value-6515058783425404723, Score = 1
Key = key-377, ValueA = , ValueB = value-3827191302246043783, Score = 1
Key = key-135, Value = value-5062380162232240279, Score = 2
Key = key-167, Value = value-5328723219373980756, Score = 2
Key = key-138, ValueA = , ValueB = value-8131914561893135867, Score = 1
Key = key-138, ValueA = , ValueB = value-6469560687084493318, Score = 1
Key = key-138, ValueA = , ValueB = value-7842378781315214128, Score = 1
Key = key-138, ValueA = , ValueB = value-4294202839909344106, Score = 1
Key = key-96, ValueA = , ValueB = value-805468705829409281, Score = 1
Key = key-138, ValueA = , ValueB = value-7587838119391571119, Score = 1
Key = key-96, ValueA = , ValueB = value-4084394434725075194, Score = 1
Key = key-138, ValueA = , ValueB = value-8491275619375324922, Score = 1
Key = key-96, ValueA = , ValueB = value-1068665360459026198, Score = 1
Key = key-138, ValueA = , ValueB = value-328669741367638434, Score = 1
Key = key-96, ValueA = , ValueB = value-5911651508401050278, Score = 1
Key = key-138, ValueA = , ValueB = value-856874359255100278, Score = 1
Key = key-96, ValueA = , ValueB = value-1203750026527244068, Score = 1
Key = key-138, Value = value-8131914561893135867, Score = 2
Key = key-96, ValueA = , ValueB = value-8117504800850606994, Score = 1
Key = key-96, Value = value-805468705829409281, Score = 2
Key = key-95, ValueA = , ValueB = value-4539325392903285427, Score = 1
Key = key-95, ValueA = , ValueB = value-8455937569607356816, Score = 1
Key = key-139, ValueA = , ValueB = value-2523087118787339368, Score = 1
Key = key-95, ValueA = , ValueB = value-5405730287333589392, Score = 1
Key = key-139, ValueA = , ValueB = value-3304093714126281295, Score = 1
Key = key-95, ValueA = , ValueB = value-4860061497019108685, Score = 1
Key = key-139, ValueA = , ValueB = value-2432413942036866154, Score = 1
Key = key-95, ValueA = , ValueB = value-5699759639308370481, Score = 1
Key = key-139, ValueA = , ValueB = value-4191363540348066566, Score = 1
Key = key-95, ValueA = , ValueB = value-1413884831351053071, Score = 1
Key = key-139, ValueA = , ValueB = value-4143091503809897225, Score = 1
Key = key-95, ValueA = , ValueB = value-508623654796073109, Score = 1
Key = key-95, ValueA = , ValueB = value-5197066886161058872, Score = 1
Key = key-139, Value = value-2523087118787339368, Score = 2
Key = key-95, ValueA = , ValueB = value-7955635716086430855, Score = 1
Key = key-95, ValueA = , ValueB = value-8420687906126940329, Score = 1
Key = key-95, Value = value-4539325392903285427, Score = 2
Key = key-168, Value = value-5922120777090264146, Score = 2
Key = key-590, ValueA = , ValueB = value-2211465968451248575, Score = 1
Key = key-590, ValueA = , ValueB = value-1232196545761065671, Score = 1
Key = key-590, ValueA = , ValueB = value-3895222062820040836, Score = 1
Key = key-590, ValueA = , ValueB = value-3074548829312077307, Score = 1
Key = key-590, ValueA = , ValueB = value-8659557432555790076, Score = 1
Key = key-590, ValueA = , ValueB = value-772985134667481658, Score = 1
Key = key-590, ValueA = , ValueB = value-9220084676954320923, Score = 1
Key = key-590, ValueA = , ValueB = value-5660340543284127211, Score = 1
Key = key-590, ValueA = , ValueB = value-2683844225018056206, Score = 1
Key = key-590, ValueA = , ValueB = value-2252913752508320155, Score = 1
Key = key-92, ValueA = , ValueB = value-6269674634934585079, Score = 1
Key = key-92, ValueA = , ValueB = value-6767867801744376640, Score = 1
Key = key-92, ValueA = , ValueB = value-6687988633189372386, Score = 1
Key = key-92, ValueA = , ValueB = value-76731698455557961, Score = 1
Key = key-92, ValueA = , ValueB = value-7233150263653123875, Score = 1
Key = key-92, ValueA = , ValueB = value-5998702674243171367, Score = 1
Key = key-92, ValueA = , ValueB = value-3177387281059576059, Score = 1
Key = key-341, ValueA = , ValueB = value-6127324753848330004, Score = 1
Key = key-341, ValueA = , ValueB = value-231400766764551259, Score = 1
Key = key-92, Value = value-6269674634934585079, Score = 2
Key = key-341, ValueA = , ValueB = value-7130422979279995401, Score = 1
Key = key-341, ValueA = , ValueB = value-7406288300858720029, Score = 1
Key = key-341, ValueA = , ValueB = value-3300347779326106659, Score = 1
Key = key-341, ValueA = , ValueB = value-5327666309884138551, Score = 1
Key = key-341, ValueA = , ValueB = value-4375956971828270034, Score = 1
Key = key-341, ValueA = , ValueB = value-5831831165473905669, Score = 1
Key = key-341, ValueA = , ValueB = value-5345738776063033079, Score = 1
Key = key-341, ValueA = , ValueB = value-402667105432936041, Score = 1
Key = key-91, Value = value-892854322820318992, Score = 2
Key = key-583, Value = value-2778521018639346609, Score = 2
Key = key-180, Value = value-7542073711183263473, Score = 2
Key = key-342, Value = value-6153591878077013475, Score = 2
Key = key-584, ValueA = , ValueB = value-6322453344894469698, Score = 1
Key = key-584, ValueA = , ValueB = value-7410127165698296359, Score = 1
Key = key-584, ValueA = , ValueB = value-3642391774684588964, Score = 1
Key = key-584, ValueA = , ValueB = value-8714657239428978256, Score = 1
Key = key-584, ValueA = , ValueB = value-8292248162386349281, Score = 1
Key = key-183, ValueA = , ValueB = value-1600739081817508151, Score = 1
Key = key-584, ValueA = , ValueB = value-8539005183658967306, Score = 1
Key = key-183, ValueA = , ValueB = value-6808204004908546775, Score = 1
Key = key-584, ValueA = , ValueB = value-431742436739087900, Score = 1
Key = key-183, ValueA = , ValueB = value-7932291234279619888, Score = 1
Key = key-183, ValueA = , ValueB = value-6026461092346948225, Score = 1
Key = key-183, ValueA = , ValueB = value-4625890148455687725, Score = 1
Key = key-183, ValueA = , ValueB = value-2476921249144627519, Score = 1
Key = key-183, ValueA = , ValueB = value-5712329446904461310, Score = 1
Key = key-183, ValueA = , ValueB = value-3848965289069302628, Score = 1
Key = key-183, ValueA = , ValueB = value-8632569491896089474, Score = 1
Key = key-183, ValueA = , ValueB = value-6177767105508554808, Score = 1
Key = key-183, ValueA = , ValueB = value-5340198352755859778, Score = 1
Key = key-183, Value = value-1600739081817508151, Score = 2
Key = key-242, ValueA = , ValueB = value-3383682652115213298, Score = 1
