Key = key-673146, ValueA = , ValueB = value-8621165726093895168, Score = 1
Key = key-883822, ValueA = , ValueB = value-8188497829152149959, Score = 1
Key = key-252853, ValueA = , ValueB = value-204531854291048448, Score = 1
Key = key-105121, ValueA = , ValueB = value-4756529165744716571, Score = 1
Key = key-590790, ValueA = , ValueB = value-1067811639363962477, Score = 1
Key = key-648910, ValueA = , ValueB = value-6872044428578161415, Score = 1
Key = key-477132, ValueA = , ValueB = value-4604071963898490601, Score = 1
Key = key-712580, ValueA = , ValueB = value-3970360363924085893, Score = 1
Key = key-893610, ValueA = , ValueB = value-1547948050031202120, Score = 1
Key = key-609285, ValueA = , ValueB = value-7191748302094306903, Score = 1
Key = key-634203, ValueA = , ValueB = value-3596086316075517723, Score = 1
Key = key-276654, ValueA = , ValueB = value-3196965519369593466, Score = 1
Key = key-276654, ValueA = , ValueB = value-8081026502546867547, Score = 1
Key = key-565610, ValueA = , ValueB = value-7226857865597363565, Score = 1
Key = key-516981, ValueA = , ValueB = value-4892266725971607313, Score = 1
Key = key-408978, ValueA = , ValueB = value-1476114639115784238, Score = 1
Key = key-119582, ValueA = , ValueB = value-6646611249067799473, Score = 1
Key = key-433958, ValueA = , ValueB = value-5291454896012097680, Score = 1
Key = key-384672, ValueA = , ValueB = value-2421890217554953030, Score = 1
Key = key-634126, ValueA = , ValueB = value-5859328271582729170, Score = 1
Key = key-69300, ValueA = , ValueB = value-684142284754151352, Score = 1
Key = key-69307, ValueA = , ValueB = value-4822968740859351719, Score = 1
Key = key-706374, ValueA = , ValueB = value-6566094081152316526, Score = 1
Key = key-770967, ValueA = , ValueB = value-2081880694277831517, Score = 1
Key = key-345041, ValueA = , ValueB = value-3217222912246399242, Score = 1
Key = key-578112, ValueA = , ValueB = value-5501878778022170309, Score = 1
Key = key-578137, ValueA = , ValueB = value-7407748131649216215, Score = 1
Key = key-731380, ValueA = , ValueB = value-3805497057475218159, Score = 1
Key = key-45324, ValueA = , ValueB = value-1049907350492664849, Score = 1
Key = key-603585, ValueA = , ValueB = value-8461131292505107504, Score = 1
Key = key-157376, ValueA = , ValueB = value-4905207917155958586, Score = 1
Key = key-80016, ValueA = , ValueB = value-4356817897049488636, Score = 1
Key = key-844538, ValueA = , ValueB = value-6648255428535560963, Score = 1
Key = key-828842, ValueA = , ValueB = value-9123182483572592945, Score = 1
Key = key-946018, ValueA = , ValueB = value-2303462324033353896, Score = 1
Key = key-976301, ValueA = , ValueB = value-3138207337366067219, Score = 1
Key = key-976301, ValueA = , ValueB = value-7759154460568160321, Score = 1
Key = key-853844, ValueA = , ValueB = value-1432399405171513042, Score = 1
Key = key-627402, ValueA = , ValueB = value-4897976779834175072, Score = 1
Key = key-502100, ValueA = , ValueB = value-5250042883858529962, Score = 1
Key = key-231765, ValueA = , ValueB = value-7428034445749169082, Score = 1
Key = key-94608, ValueA = , ValueB = value-1532821221271982507, Score = 1
Key = key-712885, ValueA = , ValueB = value-7754270351570712893, Score = 1
Key = key-471083, ValueA = , ValueB = value-9170760248051269758, Score = 1
Key = key-805004, ValueA = , ValueB = value-3153650675341485522, Score = 1
Key = key-819751, ValueA = , ValueB = value-3477585575333227122, Score = 1
Key = key-830045, ValueA = , ValueB = value-5190688632941408568, Score = 1
Key = key-946196, ValueA = , ValueB = value-3164598820980377401, Score = 1
Key = key-252428, ValueA = , ValueB = value-4105521571498553025, Score = 1
Key = key-502020, ValueA = , ValueB = value-3236843807403075899, Score = 1
Key = key-516649, ValueA = , ValueB = value-1823505499483814188, Score = 1
Key = key-976535, ValueA = , ValueB = value-7511758836375878610, Score = 1
Key = key-642948, ValueA = , ValueB = value-7867571899275350870, Score = 1
Key = key-213158, ValueA = , ValueB = value-2432786284540822476, Score = 1
Key = key-213143, ValueA = , ValueB = value-5855645425116821456, Score = 1
Key = key-157245, ValueA = , ValueB = value-3792012640408436238, Score = 1
Key = key-971037, ValueA = , ValueB = value-3402901064338882951, Score = 1
Key = key-830297, ValueA = , ValueB = value-1468923371747253082, Score = 1
Key = key-673275, ValueA = , ValueB = value-2268478354675332473, Score = 1
Key = key-550255, ValueA = , ValueB = value-8207928583017347100, Score = 1
Key = key-525280, ValueA = , ValueB = value-5528513596228701613, Score = 1
Key = key-648262, ValueA = , ValueB = value-890654068906817237, Score = 1
Key = key-359305, ValueA = , ValueB = value-5641013606064704110, Score = 1
Key = key-550274, ValueA = , ValueB = value-6542053522201877903, Score = 1
Key = key-687820, ValueA = , ValueB = value-8747468738431275279, Score = 1
Key = key-760174, ValueA = , ValueB = value-3101281424189724996, Score = 1
Key = key-70892, ValueA = , ValueB = value-4921871559618409383, Score = 1
Key = key-897612, ValueA = , ValueB = value-827739460869473082, Score = 1
Key = key-539722, ValueA = , ValueB = value-2259054612318885063, Score = 1
Key = key-118724, ValueA = , ValueB = value-6358191709969104100, Score = 1
Key = key-696565, ValueA = , ValueB = value-5691358120634593858, Score = 1
Key = key-696562, ValueA = , ValueB = value-2567844514334974644, Score = 1
Key = key-892012, ValueA = , ValueB = value-5132003925493041230, Score = 1
Key = key-130285, ValueA = , ValueB = value-8187396248291849837, Score = 1
Key = key-330188, ValueA = , ValueB = value-1327407897023180797, Score = 1
Key = key-608909, ValueA = , ValueB = value-8946979102686722581, Score = 1
Key = key-893857, ValueA = , ValueB = value-1105215756329764369, Score = 1
Key = key-305257, ValueA = , ValueB = value-4665465140703740446, Score = 1
Key = key-550138, ValueA = , ValueB = value-1783489086380912919, Score = 1
Key = key-608868, ValueA = , ValueB = value-829572700555387445, Score = 1
Key = key-104073, ValueA = , ValueB = value-6713487278536037780, Score = 1
Key = key-305232, ValueA = , ValueB = value-8286896259363982456, Score = 1
Key = key-565535, ValueA = , ValueB = value-4804267787061327041, Score = 1
Key = key-237043, ValueA = , ValueB = value-7926536427611280700, Score = 1
Key = key-590500, ValueA = , ValueB = value-9098788053598236199, Score = 1
Key = key-790995, ValueA = , ValueB = value-7919028737078897139, Score = 1
Key = key-104073, ValueA = , ValueB = value-6857319357530258911, Score = 1
Key = key-608728, ValueA = , ValueB = value-5568178731252373863, Score = 1
Key = key-368074, ValueA = , ValueB = value-843855539975535464, Score = 1
Key = key-187631, ValueA = , ValueB = value-7511865041257610344, Score = 1
Key = key-148075, ValueA = , ValueB = value-7400219357597199687, Score = 1
Key = key-368027, ValueA = , ValueB = value-38921410693605447, Score = 1
Key = key-751478, ValueA = , ValueB = value-5500667559847560141, Score = 1
Key = key-144857, ValueA = , ValueB = value-2699549557181673616, Score = 1
Key = key-697241, ValueA = , ValueB = value-4613229572748912041, Score = 1
Key = key-130110, ValueA = , ValueB = value-5060694325892736430, Score = 1
Key = key-590458, ValueA = , ValueB = value-8744241270822866748, Score = 1
Key = key-236293, ValueA = , ValueB = value-884820020001420909, Score = 1
Key = key-590488, ValueA = , ValueB = value-7774766454402123512, Score = 1
Key = key-829378, ValueA = , ValueB = value-4107027787294269904, Score = 1
Key = key-319369, ValueA = , ValueB = value-2992191034044109073, Score = 1
Key = key-275477, ValueA = , ValueB = value-4964472956322521383, Score = 1
Key = key-867187, ValueA = , ValueB = value-7086354843853883475, Score = 1
Key = key-751637, ValueA = , ValueB = value-1941729701131664408, Score = 1
Key = key-633469, ValueA = , ValueB = value-8387437911771358887, Score = 1
Key = key-383963, ValueA = , ValueB = value-3356571169568480176, Score = 1
Key = key-858422, ValueA = , ValueB = value-7048321290885465533, Score = 1
Key = key-501723, ValueA = , ValueB = value-5712336972953803237, Score = 1
Key = key-539683, ValueA = , ValueB = value-690070026191312840, Score = 1
Key = key-31429, ValueA = , ValueB = value-5022582475511050420, Score = 1
Key = key-31429, ValueA = , ValueB = value-554168560726144575, Score = 1
Key = key-329103, ValueA = , ValueB = value-1649445987752181763, Score = 1
Key = key-476225, ValueA = , ValueB = value-3942123375614792644, Score = 1
Key = key-368750, ValueA = , ValueB = value-53795819843506924, Score = 1
Key = key-618322, ValueA = , ValueB = value-4540903083076156011, Score = 1
Key = key-618322, ValueA = , ValueB = value-1377982390833801655, Score = 1
Key = key-329163, ValueA = , ValueB = value-2329587195809980029, Score = 1
Key = key-226971, ValueA = , ValueB = value-3347404588066717651, Score = 1
Key = key-726742, ValueA = , ValueB = value-6182343000565062379, Score = 1
Key = key-476262, ValueA = , ValueB = value-1407665418671259720, Score = 1
Key = key-774905, ValueA = , ValueB = value-5922205160643536128, Score = 1
Key = key-226927, ValueA = , ValueB = value-7568615301544026677, Score = 1
Key = key-999070, ValueA = , ValueB = value-7228781372223717258, Score = 1
Key = key-608377, ValueA = , ValueB = value-2359815377081449442, Score = 1
Key = key-712186, ValueA = , ValueB = value-6587367659617389626, Score = 1
Key = key-329144, ValueA = , ValueB = value-5691432755635166818, Score = 1
Key = key-858688, ValueA = , ValueB = value-7543221361574361995, Score = 1
Key = key-760321, ValueA = , ValueB = value-6552782797571546934, Score = 1
Key = key-432755, ValueA = , ValueB = value-3496572341169524471, Score = 1
Key = key-608309, ValueA = , ValueB = value-129037166057606583, Score = 1
Key = key-261142, ValueA = , ValueB = value-3750363931038796798, Score = 1
Key = key-672861, ValueA = , ValueB = value-8597738660707603541, Score = 1
Key = key-236891, ValueA = , ValueB = value-7014903566709962442, Score = 1
Key = key-501539, ValueA = , ValueB = value-8358912454193991186, Score = 1
Key = key-501520, ValueA = , ValueB = value-1580422337349252201, Score = 1
Key = key-838367, ValueA = , ValueB = value-8531501398177743376, Score = 1
Key = key-75324, ValueA = , ValueB = value-1692835819715180009, Score = 1
Key = key-94526, ValueA = , ValueB = value-408677773900773208, Score = 1
Key = key-236179, ValueA = , ValueB = value-6848061343786340745, Score = 1
Key = key-892232, ValueA = , ValueB = value-1288360555679925189, Score = 1
Key = key-863220, ValueA = , ValueB = value-564128387963636925, Score = 1
Key = key-261114, ValueA = , ValueB = value-3091636287568205267, Score = 1
Key = key-75379, ValueA = , ValueB = value-7598889768532300133, Score = 1
Key = key-712302, ValueA = , ValueB = value-2402910382058691182, Score = 1
Key = key-696332, ValueA = , ValueB = value-5043481670158976883, Score = 1
Key = key-672734, ValueA = , ValueB = value-5543889639368921797, Score = 1
Key = key-310516, ValueA = , ValueB = value-4824109488831644068, Score = 1
Key = key-310516, ValueA = , ValueB = value-8247542888339038834, Score = 1
Key = key-70902, ValueA = , ValueB = value-6244593524719798499, Score = 1
Key = key-299671, ValueA = , ValueB = value-2571579828095323791, Score = 1
Key = key-118967, ValueA = , ValueB = value-7202944924419935795, Score = 1
Key = key-437832, ValueA = , ValueB = value-437544955004022307, Score = 1
Key = key-69815, ValueA = , ValueB = value-1681083037283940736, Score = 1
Key = key-432891, ValueA = , ValueB = value-2186416253471510112, Score = 1
Key = key-417373, ValueA = , ValueB = value-8384529952332468402, Score = 1
Key = key-192781, ValueA = , ValueB = value-814041742958984748, Score = 1
Key = key-407889, ValueA = , ValueB = value-1072996629731363252, Score = 1
Key = key-574282, ValueA = , ValueB = value-7975653186614079180, Score = 1
Key = key-299775, ValueA = , ValueB = value-7317999980073758533, Score = 1
Key = key-310603, ValueA = , ValueB = value-755442450684404962, Score = 1
Key = key-980986, ValueA = , ValueB = value-174601199761113087, Score = 1
Key = key-407812, ValueA = , ValueB = value-6476397009995554728, Score = 1
Key = key-109025, ValueA = , ValueB = value-3508249345812366135, Score = 1
Key = key-128089, ValueA = , ValueB = value-526551918604197477, Score = 1
Key = key-61099, ValueA = , ValueB = value-4820687609491063417, Score = 1
Key = key-289839, ValueA = , ValueB = value-4987858698039707576, Score = 1
Key = key-261750, ValueA = , ValueB = value-8670700718795578795, Score = 1
Key = key-549191, ValueA = , ValueB = value-2974230858510281022, Score = 1
Key = key-784270, ValueA = , ValueB = value-5501461990790698826, Score = 1
Key = key-735527, ValueA = , ValueB = value-7146667012529004479, Score = 1
Key = key-539454, ValueA = , ValueB = value-5693175872859050975, Score = 1
Key = key-437962, ValueA = , ValueB = value-3734750132725263237, Score = 1
Key = key-173554, ValueA = , ValueB = value-7474078337853102326, Score = 1
Key = key-789904, ValueA = , ValueB = value-7024086569361136255, Score = 1
Key = key-932599, ValueA = , ValueB = value-7793422891942836479, Score = 1
Key = key-765062, ValueA = , ValueB = value-550984890008175462, Score = 1
Key = key-594577, ValueA = , ValueB = value-7256302460982568261, Score = 1
Key = key-118421, ValueA = , ValueB = value-8777271916822899143, Score = 1
Key = key-192920, ValueA = , ValueB = value-6062700031528730921, Score = 1
Key = key-784343, ValueA = , ValueB = value-5055035218787500550, Score = 1
Key = key-936921, ValueA = , ValueB = value-6323965685757916279, Score = 1
Key = key-594488, ValueA = , ValueB = value-7578818252963630969, Score = 1
Key = key-867357, ValueA = , ValueB = value-383824141532034987, Score = 1
Key = key-266089, ValueA = , ValueB = value-4145559513664163309, Score = 1
Key = key-682722, ValueA = , ValueB = value-2453891085868700954, Score = 1
Key = key-305782, ValueA = , ValueB = value-8233861628710988841, Score = 1
Key = key-916724, ValueA = , ValueB = value-397468140978855292, Score = 1
Key = key-932507, ValueA = , ValueB = value-2745236756196874893, Score = 1
Key = key-310410, ValueA = , ValueB = value-3729285149454656246, Score = 1
Key = key-310410, ValueA = , ValueB = value-7677491511082236022, Score = 1
Key = key-569532, ValueA = , ValueB = value-179473012790961080, Score = 1
Key = key-759428, ValueA = , ValueB = value-4217361163167281180, Score = 1
Key = key-36321, ValueA = , ValueB = value-8067160453492816924, Score = 1
Key = key-462561, ValueA = , ValueB = value-1791693881294364911, Score = 1
Key = key-784451, ValueA = , ValueB = value-229085108406370289, Score = 1
Key = key-192824, ValueA = , ValueB = value-1099418000924652716, Score = 1
Key = key-462546, ValueA = , ValueB = value-9184023389882216817, Score = 1
Key = key-657746, ValueA = , ValueB = value-5128367634845334168, Score = 1
Key = key-735655, ValueA = , ValueB = value-7944508653499273223, Score = 1
Key = key-423124, ValueA = , ValueB = value-2680232251133683567, Score = 1
Key = key-423120, ValueA = , ValueB = value-7622878340364225448, Score = 1
Key = key-75754, ValueA = , ValueB = value-5435707486712580235, Score = 1
Key = key-80334, ValueA = , ValueB = value-2857573601112697679, Score = 1
Key = key-75781, ValueA = , ValueB = value-8933794580139347706, Score = 1
Key = key-118304, ValueA = , ValueB = value-3523070899940526238, Score = 1
Key = key-696189, ValueA = , ValueB = value-2308882039313003879, Score = 1
Key = key-902265, ValueA = , ValueB = value-6415721724899090590, Score = 1
Key = key-75811, ValueA = , ValueB = value-260116715583572698, Score = 1
Key = key-897097, ValueA = , ValueB = value-1686791931071760878, Score = 1
Key = key-148717, ValueA = , ValueB = value-5057551781571631025, Score = 1
Key = key-564396, ValueA = , ValueB = value-1113467232068360211, Score = 1
Key = key-775488, ValueA = , ValueB = value-5023140620243684100, Score = 1
Key = key-368547, ValueA = , ValueB = value-5970852406746757163, Score = 1
Key = key-481690, ValueA = , ValueB = value-1472699656372389477, Score = 1
Key = key-187873, ValueA = , ValueB = value-3602638210389013831, Score = 1
Key = key-902396, ValueA = , ValueB = value-7787510303057347476, Score = 1
Key = key-922666, ValueA = , ValueB = value-3733113684680758317, Score = 1
Key = key-922666, ValueA = , ValueB = value-1299307928960690012, Score = 1
Key = key-143278, ValueA = , ValueB = value-2421073150138713829, Score = 1
Key = key-867441, ValueA = , ValueB = value-166193407848360727, Score = 1
Key = key-525786, ValueA = , ValueB = value-4472008193044380742, Score = 1
Key = key-765406, ValueA = , ValueB = value-5433551390999587292, Score = 1
Key = key-613780, ValueA = , ValueB = value-8879013971183021381, Score = 1
Key = key-790408, ValueA = , ValueB = value-5132392170309801311, Score = 1
Key = key-31851, ValueA = , ValueB = value-2423175302397236772, Score = 1
Key = key-330678, ValueA = , ValueB = value-7513047426956861590, Score = 1
Key = key-330674, ValueA = , ValueB = value-1670467390155809733, Score = 1
